GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.sumanth.demo.services,EventsServiceImplementation,0,32,0,0,0,8,0,5,0,5
demo,com.sumanth.demo.services,UserServiceImplementation,0,45,0,0,0,12,0,6,0,6
demo,com.sumanth.demo.services,UserDetailsServiceImplementation,17,3,2,0,4,1,2,1,1,1
demo,com.sumanth.demo.services,SpeakerServiceImplementation,0,32,0,0,0,8,0,5,0,5
demo,com.sumanth.demo.services,RoleServiceImplementation,28,6,0,0,7,3,4,1,4,1
demo,com.sumanth.demo.controller,CustomErrorController,37,3,8,0,11,1,5,1,1,1
demo,com.sumanth.demo.controller,EventsController,170,13,10,0,47,5,14,2,9,2
demo,com.sumanth.demo.controller,SpeakerController,185,9,18,0,50,4,14,1,5,1
demo,com.sumanth.demo.controller,LoginController,4,3,0,0,2,1,2,1,2,1
demo,com.sumanth.demo.controller,UsersController,162,10,10,0,42,4,11,2,6,2
demo,com.sumanth.demo.dto,SpeakersDTO,152,0,24,0,4,0,23,0,11,0
demo,com.sumanth.demo.dto,EventsDTO,152,0,24,0,4,0,23,0,11,0
demo,com.sumanth.demo.dto,UsersDTO,73,0,0,0,12,0,21,0,21,0
demo,com.sumanth.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.sumanth.demo.aop,SavingAOP,4,7,0,0,2,2,1,2,1,2
demo,com.sumanth.demo.aop,UpdatingAOP,4,7,0,0,2,2,1,2,1,2
demo,com.sumanth.demo.aop,DeletingAOP,4,7,0,0,2,2,1,2,1,2
demo,com.sumanth.demo.entity,Users.UsersBuilder,146,0,0,0,1,0,14,0,14,0
demo,com.sumanth.demo.entity,Users,103,84,1,3,7,26,17,13,16,12
demo,com.sumanth.demo.entity,Roles,23,3,0,0,4,1,5,1,5,1
demo,com.sumanth.demo.entity,Events,58,35,3,1,8,12,11,6,9,6
demo,com.sumanth.demo.entity,Speakers,34,21,0,0,3,8,6,5,6,5
demo,com.sumanth.demo.repository,MyUserDetails,75,0,2,0,21,0,15,0,14,0
demo,com.sumanth.demo.security,WebConfig,0,9,0,0,0,3,0,2,0,2
demo,com.sumanth.demo.security,MapperConfig,0,7,0,0,0,2,0,2,0,2
demo,com.sumanth.demo.security,WebSecurityConfig,0,129,0,0,0,26,0,6,0,6
